Episode: 1520, Steps: 724, Reward: -4.179534792414302, FPS: 83
Episode: 1521, Steps: 267, Reward: -2.464554657189497, FPS: 88
Episode: 1522, Steps: 389, Reward: -2.647580395076322, FPS: 78
Episode: 1523, Steps: 392, Reward: -2.6292661294386743, FPS: 91
Episode: 1524, Steps: 337, Reward: -2.740345584530706, FPS: 73
Episode: 1525, Steps: 367, Reward: -3.0883957773691515, FPS: 89
Episode: 1526, Steps: 319, Reward: -2.5099147011175544, FPS: 72
Episode: 1527, Steps: 260, Reward: -2.58291646635915, FPS: 77
Episode: 1528, Steps: 283, Reward: -2.6396668369687015, FPS: 82
Episode: 1529, Steps: 920, Reward: -4.549049617920248, FPS: 75
Episode: 1530, Steps: 284, Reward: -2.314494611298999, FPS: 87
Episode: 1531, Steps: 278, Reward: -3.1371460643534292, FPS: 79
Episode: 1532, Steps: 383, Reward: -3.3670200203741376, FPS: 77
Episode: 1533, Steps: 429, Reward: -2.77738870822009, FPS: 80
Episode: 1534, Steps: 310, Reward: -2.4167701259099323, FPS: 84
Episode: 1535, Steps: 354, Reward: -2.4465481916754275, FPS: 84
Episode: 1536, Steps: 189, Reward: -1.959227341378189, FPS: 70
Episode: 1537, Steps: 438, Reward: -2.9963913030863156, FPS: 87
Episode: 1538, Steps: 411, Reward: -2.957735626888997, FPS: 79
Episode: 1539, Steps: 320, Reward: -2.051827137711351, FPS: 89
Episode: 1540, Steps: 289, Reward: -2.2379475805414772, FPS: 73
Episode: 1541, Steps: 278, Reward: -2.6950442474982754, FPS: 85
Episode: 1542, Steps: 261, Reward: -1.7419569643786583, FPS: 88
Episode: 1543, Steps: 278, Reward: -2.3524241964060773, FPS: 78
Episode: 1544, Steps: 424, Reward: -3.0005400462700815, FPS: 79
Episode: 1545, Steps: 590, Reward: -3.3454862835666286, FPS: 83
Episode: 1546, Steps: 295, Reward: -1.9566674555110115, FPS: 74
Episode: 1547, Steps: 409, Reward: -2.790706967199395, FPS: 86
Episode: 1548, Steps: 419, Reward: -3.0673506849125665, FPS: 85
Episode: 1549, Steps: 357, Reward: -2.2963237538255883, FPS: 83
Episode: 1550, Steps: 289, Reward: -2.2071474405578617, FPS: 81
Episode: 1551, Steps: 352, Reward: -2.324517682064526, FPS: 83
Episode: 1552, Steps: 278, Reward: -1.7372581919062005, FPS: 95
Episode: 1553, Steps: 577, Reward: -3.7088384208647502, FPS: 79
Episode: 1554, Steps: 276, Reward: -2.470714471835892, FPS: 83
Episode: 1555, Steps: 410, Reward: -2.8616629839528036, FPS: 80
Episode: 1556, Steps: 496, Reward: -3.536678557914063, FPS: 77
Episode: 1557, Steps: 490, Reward: -3.2084641439089236, FPS: 85
Episode: 1558, Steps: 337, Reward: -2.630662366852415, FPS: 75
Episode: 1559, Steps: 601, Reward: -3.8745077175306926, FPS: 85
Episode: 1560, Steps: 292, Reward: -2.623925363823654, FPS: 80
Episode: 1561, Steps: 582, Reward: -3.4630351802106145, FPS: 81
Episode: 1562, Steps: 323, Reward: -2.4253924023191935, FPS: 75
Episode: 1563, Steps: 445, Reward: -2.829616688879809, FPS: 80
Episode: 1564, Steps: 453, Reward: -3.353819620503639, FPS: 81
Episode: 1565, Steps: 313, Reward: -2.784432562420657, FPS: 82
Episode: 1566, Steps: 415, Reward: -2.961263974965002, FPS: 81
Episode: 1567, Steps: 228, Reward: -2.1822487654466025, FPS: 75
Episode: 1568, Steps: 350, Reward: -2.382262322601705, FPS: 82
Episode: 1569, Steps: 373, Reward: -2.4904470298208894, FPS: 76
Episode: 1570, Steps: 379, Reward: -2.544389336328839, FPS: 84
Episode: 1571, Steps: 384, Reward: -3.2347889742766975, FPS: 72
Episode: 1572, Steps: 273, Reward: -2.4035615109966715, FPS: 87
Episode: 1573, Steps: 248, Reward: -2.0782777543361917, FPS: 74
Episode: 1574, Steps: 370, Reward: -3.3675594903131882, FPS: 87
Episode: 1575, Steps: 411, Reward: -3.3627245946355044, FPS: 80
Episode: 1576, Steps: 266, Reward: -2.1116919050109564, FPS: 89
Episode: 1577, Steps: 226, Reward: -2.1121219102013704, FPS: 86
Episode: 1578, Steps: 337, Reward: -3.226090626357162, FPS: 72
Episode: 1579, Steps: 256, Reward: -2.1960990683292216, FPS: 95
Episode: 1580, Steps: 430, Reward: -3.181840521940011, FPS: 75
Episode: 1581, Steps: 258, Reward: -2.3420059038844236, FPS: 84
Episode: 1582, Steps: 266, Reward: -2.439957995087833, FPS: 80
Episode: 1583, Steps: 298, Reward: -2.44088874263932, FPS: 73
Episode: 1584, Steps: 388, Reward: -3.372060510481874, FPS: 85
Episode: 1585, Steps: 446, Reward: -3.500795698401148, FPS: 77
Episode: 1586, Steps: 252, Reward: -2.155462299722804, FPS: 87
Episode: 1587, Steps: 359, Reward: -2.847906951713062, FPS: 73
Episode: 1588, Steps: 365, Reward: -2.553072289231853, FPS: 88
Episode: 1589, Steps: 265, Reward: -2.2290519515016007, FPS: 78
Episode: 1590, Steps: 377, Reward: -3.1043107653693545, FPS: 88
Episode: 1591, Steps: 403, Reward: -2.9242882837950184, FPS: 74
Episode: 1592, Steps: 327, Reward: -3.2760979478936867, FPS: 92
Episode: 1593, Steps: 307, Reward: -2.475575516836283, FPS: 85
Episode: 1594, Steps: 349, Reward: -2.7123833632103302, FPS: 85
Episode: 1595, Steps: 357, Reward: -2.950788360615631, FPS: 83
Episode: 1596, Steps: 407, Reward: -2.7465338369031214, FPS: 78
Episode: 1597, Steps: 294, Reward: -2.7096683000087216, FPS: 86
Episode: 1598, Steps: 408, Reward: -3.235646778586396, FPS: 77
Episode: 1599, Steps: 336, Reward: -2.9982126234406525, FPS: 81
Episode: 1600, Steps: 380, Reward: -2.544217640840028, FPS: 54
Avg Eval Reward over 100 episodes: -2.617905395294601
Saving model. Average Eval Reward below 1.8.
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
Episode: 1601, Steps: 410, Reward: -2.9026202918569135, FPS: 77
Episode: 1602, Steps: 258, Reward: -2.513675536470613, FPS: 87
Episode: 1603, Steps: 433, Reward: -2.7929742558894937, FPS: 80
Episode: 1604, Steps: 356, Reward: -2.928976052933126, FPS: 90
Episode: 1605, Steps: 297, Reward: -2.812636071840753, FPS: 70
Episode: 1606, Steps: 448, Reward: -3.286636115213496, FPS: 94
Episode: 1607, Steps: 267, Reward: -2.342793015466753, FPS: 76
Episode: 1608, Steps: 280, Reward: -2.0203885473673053, FPS: 85
Episode: 1609, Steps: 324, Reward: -2.524372413252279, FPS: 80
Episode: 1610, Steps: 334, Reward: -2.2730608549495206, FPS: 79
Episode: 1611, Steps: 305, Reward: -2.7218282638054854, FPS: 82
Episode: 1612, Steps: 297, Reward: -3.0931638560075845, FPS: 71
Episode: 1613, Steps: 302, Reward: -2.763058640164375, FPS: 96
Episode: 1614, Steps: 319, Reward: -3.0134838715952674, FPS: 76
Episode: 1615, Steps: 434, Reward: -2.8568219181008803, FPS: 83
Episode: 1616, Steps: 350, Reward: -1.9939981808914238, FPS: 72
Episode: 1617, Steps: 267, Reward: -2.160047804881887, FPS: 84
Episode: 1618, Steps: 398, Reward: -2.3802027040386315, FPS: 80
Episode: 1619, Steps: 300, Reward: -2.75497864734119, FPS: 84
Episode: 1620, Steps: 439, Reward: -2.9393277828847535, FPS: 81
Episode: 1621, Steps: 359, Reward: -2.0222748560740884, FPS: 82
Episode: 1622, Steps: 264, Reward: -2.6312333729632496, FPS: 90
Episode: 1623, Steps: 325, Reward: -2.6219421619600434, FPS: 78
Episode: 1624, Steps: 340, Reward: -2.2321178772503707, FPS: 86
Episode: 1625, Steps: 589, Reward: -3.774444696901534, FPS: 76
Episode: 1626, Steps: 349, Reward: -1.94102709921524, FPS: 75
Episode: 1627, Steps: 412, Reward: -2.890455888591995, FPS: 79
Episode: 1628, Steps: 470, Reward: -3.5777482085827454, FPS: 74
Episode: 1629, Steps: 386, Reward: -2.311614709577918, FPS: 85
Episode: 1630, Steps: 384, Reward: -2.421562484061252, FPS: 76
Episode: 1631, Steps: 411, Reward: -3.0207302119989654, FPS: 88
Episode: 1632, Steps: 359, Reward: -3.1690528510561826, FPS: 72
Episode: 1633, Steps: 379, Reward: -3.2402039895083057, FPS: 89
Episode: 1634, Steps: 372, Reward: -2.8685198029161088, FPS: 77
Episode: 1635, Steps: 355, Reward: -2.115509643696735, FPS: 85
Episode: 1636, Steps: 451, Reward: -3.0186265931697376, FPS: 78
Episode: 1637, Steps: 405, Reward: -3.0753972566817036, FPS: 78
Episode: 1638, Steps: 536, Reward: -3.509729508310817, FPS: 85
Episode: 1639, Steps: 254, Reward: -2.0852583997892458, FPS: 71
Episode: 1640, Steps: 486, Reward: -3.4295100231254154, FPS: 82
Episode: 1641, Steps: 498, Reward: -3.376862059443871, FPS: 76
Episode: 1642, Steps: 290, Reward: -2.1489952365017713, FPS: 89
Episode: 1643, Steps: 291, Reward: -2.413374818722631, FPS: 77
Episode: 1644, Steps: 355, Reward: -2.806748502741705, FPS: 88
Episode: 1645, Steps: 390, Reward: -2.542004125346993, FPS: 78
Episode: 1646, Steps: 347, Reward: -2.4976341631485637, FPS: 91
Episode: 1647, Steps: 294, Reward: -2.5574416553618744, FPS: 75
Episode: 1648, Steps: 267, Reward: -2.206074976001224, FPS: 80
Episode: 1649, Steps: 317, Reward: -2.2429283995194877, FPS: 94
Episode: 1650, Steps: 327, Reward: -2.414936862982832, FPS: 77
Episode: 1651, Steps: 275, Reward: -1.952271572828715, FPS: 79
Episode: 1652, Steps: 487, Reward: -3.6727450268273074, FPS: 78
Episode: 1653, Steps: 605, Reward: -3.860695027257779, FPS: 77
Episode: 1654, Steps: 554, Reward: -3.6548864215254144, FPS: 86
